Model;Epochs;Learning Rate;Accuracy;Parameters;Time[min];Amount;Train Losses;Test Losses
PreActResNet18; 25; 0.05; 90.38; 11217316; 24.582204775015512; 0.2; [1.493251821625637, 0.9808638000137442, 0.7728440880451306, 0.6475770191473604, 0.5658998665038165, 0.5052265139083334, 0.4539791076221835, 0.41197766170325145, 0.37800572627841933, 0.3518571369063946, 0.3301039056391267, 0.3040396594171313, 0.2838821164317434, 0.2696448440561625, 0.24661516273538425, 0.2382486613392258, 0.2205419680663764, 0.20809890789600113, 0.1937554662809448, 0.18632533287412595, 0.1736072092629869, 0.16280066909331659, 0.15721846066453446, 0.14874858558189866, 0.14016986074121532]; [1.4800979028494594, 1.0747791127846265, 0.8539048435208135, 0.7057280989405447, 0.6354277311041713, 0.46275123484884967, 1.0830859601402436, 0.6764931884079505, 0.4568353440588751, 0.5445933852927943, 0.41833409294486046, 0.386280783044454, 0.4037276331347208, 0.4317578045300211, 0.40185533263408146, 0.3425788149035301, 0.46350292474650345, 0.39068446758860786, 0.41744692700084884, 0.5479164634483119, 0.3931617762822027, 0.6503455507012602, 0.4793332158424222, 0.3707267942662818, 0.3424824035009399]
PreActResNet18; 25; 0.05; 90.64; 11217316; 24.742848666508994; 0.3; [1.5003176674733005, 0.9692724230422168, 0.7618546601639904, 0.6394132138185218, 0.5580728063818665, 0.49606349439820796, 0.4511288811934734, 0.4143711728873881, 0.38093286239073126, 0.3484194860844298, 0.32242500136701135, 0.30234981549788154, 0.2821280300159601, 0.2638499567670103, 0.25032412359206174, 0.23471162904420972, 0.21748123075860723, 0.20735870529936243, 0.19783838543628587, 0.18392336583634933, 0.17153563800578317, 0.16104630154741645, 0.15181081218618758, 0.14620422138054917, 0.13835816583645327]; [1.5192735444623442, 0.8824167193505711, 1.023577100647905, 0.7535067946194841, 0.6699486764998862, 0.5639775653902334, 0.5360493412889993, 0.5977152620498746, 0.5290949488647829, 0.4460881502150347, 0.6629206065933544, 0.4163817414127219, 0.35944457293247073, 0.42903035910080034, 0.4191135571430476, 0.39917986554364426, 0.33880584041912337, 0.4483104660845222, 0.4367227894834246, 0.42691994221589435, 0.33861843503107086, 0.2974982642458555, 0.41620190113860245, 0.3380477284036648, 0.371740562026017]
PreActResNet18; 25; 0.05; 89.99; 11217316; 24.862209844589234; 0.4; [1.4959183415005928, 0.9718926770902183, 0.7516505955810815, 0.637917437407731, 0.5608058779649985, 0.4984428805614311, 0.45047989953607226, 0.4085565889736856, 0.3763970060349083, 0.35005643582227747, 0.3230279703181826, 0.30107603392606064, 0.2821070247711715, 0.2632194700426233, 0.24286593007482707, 0.2340737426807235, 0.21505630707757944, 0.20794713279763885, 0.18999254169217855, 0.17737943212211524, 0.17308094885864045, 0.16081985047412412, 0.15398093216271352, 0.14740501850472806, 0.13352259865235622]; [1.5298078939937556, 1.0175744241799791, 1.77873616553724, 0.694449875967952, 0.9352798286242227, 1.1662578997901454, 0.551262260673526, 0.5024093940092352, 0.4564307195643267, 0.45752487996944224, 0.5945707613382095, 0.42276841385391195, 0.43112225225344064, 0.4488937059125771, 0.36794587587729427, 0.38135998116466946, 0.45942009017823604, 0.4019929249399005, 0.43442522368420616, 0.35791131196478115, 0.39495256689255137, 0.3506365890700977, 0.3755047878030295, 0.3688034507573936, 0.7203410421899809]
PreActResNet18; 25; 0.05; 90.17; 11217316; 24.78039461374283; 0.5; [1.5028536629768343, 0.9538166383215806, 0.7475273953804357, 0.6278939240171753, 0.5457303422721852, 0.4906326996273363, 0.4398192796386631, 0.4012295082878853, 0.36611833922941567, 0.33895728070234077, 0.31507746905793915, 0.29889091575829285, 0.2742889427001363, 0.25957332005973377, 0.24375251064616865, 0.22982524800807314, 0.2135784011101797, 0.20555939216652952, 0.19226197625396585, 0.18226920584900758, 0.17098107184992503, 0.1596326861457252, 0.1516691948101282, 0.14461026108264805, 0.1335632803655329]; [1.1583005100393449, 0.9776752000799576, 1.2458047034641424, 0.5902278485437171, 0.6866162837789462, 0.6201502211368122, 0.4501816544431848, 0.6753827263467228, 0.6399763055121936, 0.369060803716556, 0.4206654316367814, 0.3717038438628657, 0.4146805379432611, 0.3722977976079661, 0.42586537753454984, 0.3670955145249542, 0.3592577754272916, 0.3729885904290996, 0.3556538941249394, 0.330841171825989, 0.33659435333178256, 0.5327065493494939, 0.4252567807682596, 0.36563286066692047, 0.3789030317627727]
PreActResNet18; 25; 0.05; 90.99; 11217316; 24.983855493863423; 0.6; [1.5044308881765744, 0.9838362059681673, 0.7686884546806168, 0.6464712614442626, 0.5659060121936365, 0.5065658755853095, 0.4564210682611624, 0.4110562236871158, 0.3815649110735683, 0.35227418095540786, 0.329010576035968, 0.3017763012122799, 0.28489826421085945, 0.26530173927145134, 0.2510873255387225, 0.2351124551092404, 0.2197651703426673, 0.2073099786857821, 0.1969436486975617, 0.18117991932569474, 0.169850347602355, 0.16289208019188034, 0.15577409057851144, 0.14566051052711662, 0.13972227506824278]; [1.55236851216886, 1.066056212582908, 1.1124586086874952, 0.6988356173419343, 0.8355549332528068, 0.6202623548027807, 0.792082933953014, 1.0788896933150367, 0.5042158978196759, 0.37151636054721504, 0.665580379791534, 0.3774223795142798, 0.3494278409610541, 0.6498724999138341, 0.5424680981439904, 0.5101912476765081, 0.4205528424737362, 0.5746295355593625, 0.5315664901424901, 0.3995402148677804, 0.4318887247814062, 0.3325754995264422, 0.3321637736615567, 0.3448130648595076, 0.3104978304656859]

# [1111] Model (Custom Prun Conf)
PreActResNet18; 25; 0.05; 89.37; 4946596; 15.94798108736674; 0.2; [1.5000145391478268, 1.0224395681480072, 0.8244288833531827, 0.6984793584429142, 0.6197240743893351, 0.5533200916062543, 0.5092690647725714, 0.46760596616178157, 0.43422834091818036, 0.41169993385377024, 0.38581136765669954, 0.3594275559939239, 0.338402852385054, 0.31972864116241134, 0.3039467397610099, 0.28809731881004913, 0.2750374284904791, 0.2589081930603191, 0.24851819064518196, 0.23673771606354246, 0.2276773515681159, 0.21373222108575218, 0.20122779277942823, 0.1977791534945302, 0.1861630127096688]; [1.164537816763686, 1.2668735139286176, 0.7478874185310004, 1.0933039515924912, 0.7216480949911447, 0.7044831136354623, 1.1420113319596543, 0.5741488949749798, 0.5661523899378867, 0.48028901233650245, 0.5637313306284027, 0.45222526553054204, 0.47231339103878495, 0.4011069353991233, 0.5640329861055358, 0.5245715995875601, 0.44525182323333934, 0.47094153241513254, 0.38021708830905415, 0.3929453102615885, 0.3982579980355006, 0.3872616969275113, 0.3553605452596475, 0.4390564124210003, 0.409655993396696]
PreActResNet18; 25; 0.05; 88.52; 4946596; 16.21364208459854; 0.3; [1.4929529782754065, 1.0232841223573654, 0.8283391787086019, 0.7014751539196789, 0.6238002021363814, 0.565177428726195, 0.5199874352689973, 0.4765460826957066, 0.44614742052761014, 0.4117106156053066, 0.3886424514345267, 0.368768088293148, 0.34638918427630105, 0.32846403556446274, 0.31324110394170934, 0.2958705816167673, 0.2824383635224056, 0.2622248978459503, 0.2541312520116358, 0.24092132308933303, 0.23032057969530023, 0.21723926900299081, 0.20710535420454032, 0.19677505750621424, 0.18693206238459678]; [1.4276855875508854, 0.9726037664916187, 1.0061300499751544, 1.0378826457661943, 0.6018745209843206, 0.6359783890195929, 0.5553915319256127, 0.7409358945327064, 0.5647971713409637, 0.474017896805518, 0.5105045338551076, 1.013843186842367, 0.5751850355071382, 0.47908635513660625, 0.42616531325462526, 0.49811930923511427, 0.4639361646419135, 0.44246425746252743, 0.36922235059709596, 0.5003413090143151, 0.4294072482080315, 0.4877455256546077, 0.46087153800450764, 0.40406473227940237, 0.41873545994083533]
PreActResNet18; 25; 0.05; 89.44; 4946596; 16.132959127426147; 0.4; [1.5042981374591722, 1.0392153365293224, 0.8510539583189702, 0.7294745225404519, 0.635120790687724, 0.5755493399506567, 0.5202214432044893, 0.4797657963248376, 0.44801261263612896, 0.4189071967215852, 0.39121820840100335, 0.36807822832695886, 0.3473787564100246, 0.3285380320209993, 0.31167223345504996, 0.297405023674194, 0.28294652734149633, 0.2695225417061029, 0.25552384094266617, 0.24060471162500285, 0.23507317203446812, 0.21964049923471435, 0.20823155177348388, 0.20210336523353387, 0.19282432425122467]; [1.6965009252103374, 1.0349415500704853, 0.8023386369117151, 0.749304035982004, 0.8178539470361825, 0.6257676954943532, 0.7128758767066291, 0.5605908126924366, 0.5858374039728802, 0.7541649247320316, 0.6730413814893546, 0.6626297247628815, 0.5962192306693751, 0.5673261032746242, 0.43366073433773966, 0.6168729864751188, 0.4228306539332905, 0.42074656338927846, 0.3805663640947102, 0.3946723381337076, 0.5516121720496457, 0.7223087986722921, 0.38719666080948073, 0.39724915216977413, 0.3638005538191944]
PreActResNet18; 25; 0.05; 88.48; 4946596; 15.676116613547007; 0.5; [1.5090754372297155, 1.0245010250856383, 0.8227455174587357, 0.699274472715911, 0.6170716413647718, 0.5586547304137883, 0.5079335456503101, 0.4725551115764842, 0.438307735556528, 0.40941876820833806, 0.3845296563367316, 0.35886300726533316, 0.33821755467472514, 0.321234389915538, 0.30301842191426404, 0.29166485560832695, 0.27722236821195556, 0.26038631417157554, 0.251307661407368, 0.23646775866433817, 0.23165796811841977, 0.2151803182788379, 0.2087745063485946, 0.19568000083535395, 0.19025051600037005]; [1.273992388964461, 1.1361621369759496, 0.8096250823130623, 0.8819847294031241, 0.6359650203214285, 0.6957479740103213, 0.5586224993863426, 0.47436662803823576, 0.5505282946716482, 0.5190537082977569, 0.4285678504326473, 0.5653584645495723, 0.45507622810122306, 0.4668066408544684, 0.4338293017837377, 0.5170021762553686, 0.4378145309492422, 0.40661603850297656, 0.37506246180556263, 0.40150060712957913, 0.3892427209776621, 0.5546350670984378, 0.5294324314763276, 0.40479391778167634, 0.4163879234546099]
PreActResNet18; 25; 0.05; 88.67; 4946596; 17.628430859247842; 0.6; [1.4954094260988218, 1.0258753255667477, 0.820869751794172, 0.7003629210089845, 0.6191334801458503, 0.5604436871567675, 0.5113255256025439, 0.47108802630286606, 0.43774861476300087, 0.41290858012557946, 0.38485554919619247, 0.3627210395626357, 0.34001161270105756, 0.3258756123368777, 0.30765145280120165, 0.28873945673020773, 0.2792284108641166, 0.266777365053131, 0.25205130775602713, 0.23568569841632, 0.22817315620811737, 0.21668678408539874, 0.20938683902071367, 0.2011689595593305, 0.19015215837437796]; [1.2336064203859518, 1.3579161854597708, 0.9099850660314956, 1.0173275113677065, 0.9418791090718474, 0.6062410426692079, 0.5997609109067308, 0.5821861024148548, 0.5003909096359825, 0.5149400900728025, 0.5207030983350147, 0.6343662176792995, 0.44634377751677945, 0.40236407999223034, 0.42347696037909477, 0.39961854317270146, 0.5391616101820058, 0.3837505816496885, 0.650531780391265, 0.37078877543203365, 0.46793543841368473, 0.5789378586525734, 0.43602238682369454, 0.42327953490633935, 0.6886574391263742]

# [1111] Model (Custom Prun Conf) (Half Quantize)
PreActResNet18; 25; 0.05; 90.34; 4946596; 13.205989869435628; 0.2; [1.5125213056821818, 1.0487494001919386, 0.8439554030210332, 0.7193872179652511, 0.6338638823076616, 0.5727567178502879, 0.5272729132927463, 0.47895966259546946, 0.44803940082923466, 0.41890024879538545, 0.39131856712102125, 0.37130797832193696, 0.34680605331293984, 0.32832727902071335, 0.3087586093543816, 0.2946866182509097, 0.280241670321747, 0.2665835018731506, 0.25548488546165227, 0.23996500807241683, 0.23323520848328536, 0.21832676629416087, 0.2099186024144149, 0.2051512803012411, 0.1922392646853007]; [1.7338009185303513, 1.4369087584864217, 0.8322742206220048, 0.6672503681609425, 0.863101069538738, 0.6319061376797125, 0.677100818378095, 0.7850439297124601, 0.6315785368410544, 0.6103291374425919, 0.4656961459321336, 0.4525663235697883, 0.5463274385982428, 0.44055848532972247, 0.44875113880291534, 0.37269733660518173, 0.42939070924021566, 0.416320313280002, 0.452912839456869, 0.7265877525646466, 0.41364563768283247, 0.38920081385408345, 0.4279026116806859, 0.3615921556759185, 0.327358404287515]
PreActResNet18; 25; 0.05; 88.85; 4946596; 12.747611220677694; 0.3; [1.4958113403710813, 1.0262022402831095, 0.8269869266834613, 0.7110107578075016, 0.6215438403460892, 0.5621991587691939, 0.5128908749200256, 0.4740873935965491, 0.43770573494606724, 0.41320416138710614, 0.3842518245723868, 0.36256884125204936, 0.3419929255450756, 0.32769810535628596, 0.31178659547694737, 0.2915257937772413, 0.2781186387543486, 0.26303577972236386, 0.2522453459424234, 0.23612761299196758, 0.22654097368529572, 0.21933683369759177, 0.20651474535960992, 0.19893351412704185, 0.18561329905680182]; [1.2822803826377795, 1.4898443740015974, 0.9623586636381789, 0.9054988580770766, 0.7045902337509984, 0.6956116307657748, 0.6253562659120407, 0.5960783059604633, 0.5410333700454273, 0.5125108420277555, 0.5093286288812899, 0.48076768576527557, 0.5591906465280551, 0.4964410458890775, 0.4607850096096246, 0.5098153501272963, 0.46538156137679715, 0.47066422240040934, 0.4835058827750599, 0.4466098383211861, 0.39713383635012106, 0.36543405551118213, 0.4241813684043031, 0.4231411626163763, 0.4131071925544129]
PreActResNet18; 25; 0.05; 89.1; 4946596; 12.788863146305085; 0.4; [1.5054751229606527, 1.0327496763535668, 0.8333707432371641, 0.7011889789017515, 0.6169297699736085, 0.5588142263225768, 0.5053768341005878, 0.47184037826645475, 0.4412136358552763, 0.41252353934241043, 0.38239806230756157, 0.3610365776701456, 0.33733716929332613, 0.31945966743766996, 0.3041298561803973, 0.2904948736716751, 0.2700482720529431, 0.25575096242639855, 0.2478205899893284, 0.23540249346771533, 0.22482469672204894, 0.21242356254592282, 0.20351799435899262, 0.19268191844625346, 0.18443848212712557]; [1.3883255541134185, 1.0030271877496006, 1.245877689446885, 0.7383584701976837, 0.939513185153754, 0.8312286279452875, 0.6226995791109226, 0.4727196251622404, 0.6081219267921326, 0.5615173924845248, 0.5812444229857229, 0.4651348857453075, 0.5448902849191294, 0.5541827412078175, 0.4562030828798922, 0.4353168719111921, 0.5715226730980432, 0.5221376266723243, 0.37652039451721, 0.4241732758835863, 0.423124026947509, 0.3676784137567392, 0.42793088675307006, 0.38062634940345447, 0.3878640123068715]
PreActResNet18; 25; 0.05; 89.17; 4946596; 12.878564206759135; 0.5; [1.5050436985164748, 1.0163658566758638, 0.8202865707973449, 0.7065081361464332, 0.62445126934381, 0.561673858115403, 0.5182916466730646, 0.47251102303512876, 0.44565922498550464, 0.4115414317418426, 0.38459579653260956, 0.3643432539087492, 0.3464916031557402, 0.3281738710800044, 0.30715907237808904, 0.2943969062712432, 0.27588365570673634, 0.26809628926556, 0.24862461004666006, 0.24267498072491803, 0.22949702970049585, 0.217696962948419, 0.21113441452641404, 0.1970465349525652, 0.19127994276206614]; [1.2035672611321886, 1.235852323781949, 0.9882999700479234, 0.967012935553115, 0.6600509497304313, 0.7716224353534346, 0.6927505834414937, 0.48148694510657947, 0.5798460744059505, 0.4595810765275559, 0.5493511163388578, 0.4913488028529353, 0.5592715717352237, 0.40969019880690893, 0.5893418187150559, 0.40244164025059903, 0.43949271010133784, 0.47089481049071485, 0.3989987114367013, 0.6101766470522164, 0.5261124193477935, 0.3726957278510633, 0.36660444850738816, 0.6472602819863219, 0.36849663585138775]
PreActResNet18; 25; 0.05; 89.35; 4946596; 13.015359246730805; 0.6; [1.4934577185300704, 1.0353183856166026, 0.8388615642994242, 0.7095319341560701, 0.6269424252989043, 0.5645031480551224, 0.5177942277221289, 0.47589861088201774, 0.4411962976535009, 0.41064640565019195, 0.3857523014510357, 0.36209522327855087, 0.3412815028097259, 0.3215366200003499, 0.3048446860285958, 0.293061064209453, 0.27447591770633395, 0.2617229674004319, 0.25151498395513433, 0.23487042740073177, 0.2287870615777951, 0.21257805900549323, 0.20915425227989543, 0.19791344992258728, 0.18461234494805412]; [1.2415697384185302, 1.6188114641573483, 0.8715952912839456, 1.4044341553514377, 0.7279415435303515, 0.5986488025409346, 0.7161834034295128, 0.6719582652131589, 0.5861722806010383, 0.4830045364916134, 0.49008363961411744, 0.43776763818515374, 0.46187779240714855, 0.43773721810727834, 0.4258888902755591, 0.4362560430654702, 0.37030936049196284, 0.39383802322533945, 0.422724129673772, 0.39422675672049723, 0.3614805666402506, 0.40273492100139774, 0.5807081716129193, 0.37418499541358824, 0.391600099996256]

# [1111] Model (Custom Prun Conf) (Half Quantize) 
PreActResNet18; 50; 0.05; 91.11; 4946596; 24.573292950789135; 0.3; [1.5050490093170186, 1.0202558618742004, 0.8077533939139475, 0.6949726868652031, 0.6154386846209213, 0.5522647596519114, 0.5096520285383678, 0.46714809073596447, 0.4350120070952295, 0.40241583630738165, 0.379790810690579, 0.35862188162288067, 0.3407578129686, 0.31702146328799785, 0.30466421643511576, 0.2881528301568498, 0.2741413958470789, 0.2636202508947137, 0.2506316728646833, 0.23418055050508838, 0.22592971909145323, 0.2150964718633787, 0.20372423695511185, 0.19542966221512242, 0.18962204555479747, 0.1770730900291594, 0.17458318123356775, 0.16186920283165637, 0.15702298994790417, 0.14635625437750543, 0.14228637753887505, 0.1338045848765895, 0.13154772650486218, 0.12594106726667778, 0.12030568430992708, 0.10989746708787564, 0.11213839061734619, 0.10449484778152242, 0.10372486590423877, 0.09563466058048925, 0.09422838512476789, 0.08805811168746314, 0.08593001338204587, 0.0841383488606888, 0.07697446180015363, 0.08024487522879398, 0.07168840950144001, 0.07111601057681073, 0.07158658356523179, 0.07002085260451031]; [1.759589344548722, 1.0593854520267572, 1.0808331669329074, 0.7166837747104633, 0.695528560553115, 0.8714104308107029, 0.6333245713109026, 0.5010173176043331, 0.48207223910493213, 0.4894594430161741, 0.5612408817766573, 0.5339398368859825, 0.44901399947583864, 0.42806256084015576, 0.43382887185191193, 0.4630594954323083, 0.3737751043642672, 0.3965685664655301, 0.43973782572883385, 0.39832171845359926, 0.5516678197696187, 0.3416356583372853, 0.48138768985248603, 0.7514196036341853, 0.3526448015206919, 0.43781370705309003, 0.4803281546400759, 0.717126230843151, 0.4485763696055062, 0.4094549794547474, 0.36876520028891274, 0.3638325651613668, 0.42276824853671624, 0.3418850396007014, 0.4454905354557708, 0.38972288503433566, 0.3959539248920477, 0.41497215295371154, 0.3618253579916665, 0.4297952621508711, 0.39766836928102534, 0.44445170685886953, 0.41782730608321605, 0.521431383614342, 0.3679973066043549, 0.4226887675519949, 0.4991964516929163, 0.4044223182117596, 0.42251107334709775, 0.44175926184121034]
PreActResNet18; 50; 0.05; 90.9; 4946596; 28.18467443784078; 0.4; [1.4926854656509916, 1.0146870189039507, 0.8330451443038228, 0.708832470484445, 0.6234561190419066, 0.5674570075075975, 0.5163967061790227, 0.4805382590071177, 0.4417357148837372, 0.41620732146962974, 0.38927517803677825, 0.3664130993707014, 0.3453307051118642, 0.32644592792806304, 0.3088751443288148, 0.29419948897602766, 0.2787225470661888, 0.2652169079332114, 0.2499056844778421, 0.24276752923439499, 0.22795456674567263, 0.21638709402053843, 0.21121677586609786, 0.19781626910638594, 0.1945931318091492, 0.1835420282697037, 0.1741497530360597, 0.1629043720657827, 0.1636604777682079, 0.15636075313321612, 0.14439304227334754, 0.14128477178318563, 0.13209045932450053, 0.129081455164816, 0.12450282267096405, 0.1157137821365913, 0.11544146815401884, 0.10866130565269895, 0.10037020941384694, 0.10179649982708658, 0.09958436835368932, 0.08896613471872594, 0.08770878743606733, 0.08595310779847323, 0.08401311702325569, 0.07480070290470917, 0.0753946987696359, 0.07602330300568466, 0.0686107200456596, 0.06654325053238823]; [1.4362863168929711, 1.117359100439297, 0.9884778105031949, 0.9102373702076677, 0.6925887330271565, 0.5922523961661342, 0.5801916152905351, 0.5054964790709864, 0.5163404568315695, 0.5066019369009584, 0.46062540170102834, 0.4391652067629293, 0.5810312874400958, 0.8487030126797125, 0.4548538744259185, 0.44488973891773165, 0.4506783287365216, 0.4200027027069189, 0.4116972414449381, 0.4587088392946286, 0.4738008541801867, 0.4233283874706719, 0.5275347529889677, 0.5177391954123403, 0.42086479991388775, 0.5410885551867013, 0.4562383779702476, 0.39174635037065697, 0.3644093522629418, 0.39362147517097645, 0.39484362861218925, 0.569523430479982, 0.4950717523836861, 0.40400627550606527, 0.40595940050606527, 0.7197795051355331, 0.412563238661891, 0.41950203283145404, 0.4147938737473168, 0.4327323170134816, 0.5485024619788027, 0.4051155845958966, 0.41981364972294327, 0.43814840712867226, 0.41475695771531174, 0.39061455528576156, 0.4061237371767672, 0.41515843936810476, 0.4408149353612345, 0.40740205076174996]
